Code,Name,Description,,,,,
2901,NMSC,IB. Balance Inquiry,,,,,
2902,NMSC,IB. Statement Inquiry,,,,,
2905,NMSC,IB. Adhoc Statement Request,,,,,
2906,NMSC,IB. Cheque Book Request,,,,,
2907,NMSC,IB. TD. Balance Inquiry,,,,,
2909,NMSC,IB. Cheque Status Inquiry,,,,,
2910,NMSC,IB. TDS. Inquiry,,,,,
2911,NMSC,IB. Currency Exchange Rate Inquiry,,,,,
2912,NMSC,IB. TD. Rate Inquiry,,,,,
2913,NMSC,IB. Stop Cheque,,,,,
2917,NMSC,IB. TD. Account Opening,,,,,
2918,NMSC,IB. BC. Issue,,,,,
2919,NMSC,IB. DD. Issue,,,,,
2920,NMSC,XFER TD DR,,,,,
2930,NMSC,IB TD MAT INSTR,,,,,
2937,NMSC,IB SI ADD,,,,,
2938,NMSC,IB SI ADD,,,,,
2939,NMSC,SI Delete,,,,,
2940,NMSC,IB SI ADD,,,,,
2941,NMSC,IB SI ADD,,,,,
2945,NMSC,??????????,,,,,
3000,NMSC,ThumbPad Verification,,,,,
3004,NMSC,Bg dep/TD Int Cash,,,,,
3006,NMSC,Bg dep/TD Int Trf,,,,,
3008,NMSC,TD. Batch Redemption Payout By DD.,,,,,
3014,NMSC,LN. Disbursement Debit,,,,,
3015,NMSC,LN. SC. Capitalization,,,,,
3030,NMSC,Outgoing Payment Transaction(Initiation) Rev,,,,,
3031,NMSC,Outgoing Payment Transaction(Message) Rev,,,,,
3033,NMSC,Payment Transaction1 Rev,,,,,
3034,NMSC,Payment Transaction2 Rev,,,,,
3035,NMSC,Payment Transaction3 Rev,,,,,
3036,NMSC,Payment Transaction 4 Rev,,,,,
3037,NMSC,Payment Transaction5 Rev,,,,,
3038,NMSC,Payment Transaction6 Rev,,,,,
3039,NMSC,Payment Transaction7 Rev,,,,,
3041,NMSC,Payment Transaction5 Rev,,,,,
3043,NMSC,Payment Transaction8 Rev,,,,,
3060,NMSC,LN. Premium Debit,,,,,
3070,NMSC,LN. Reminder SC.,,,,,
3081,NMSC,LN. Reminder SC.,,,,,
3082,NMSC,Principal Arrear Appropriation,,,,,
3087,NMSC,Premium Arrear Appropriation,,,,,
3088,NMSC,Susp Premium Arrear Appropriation,,,,,
3089,NMSC,IOA Arrear Appropriation,,,,,
3091,NMSC,Susp IOA Arrear Appropriation,,,,,
3092,NMSC,Outgoings Arrear Appropriation,,,,,
3093,NMSC,Susp Outgoings Arrear Appropriation,,,,,
3094,NMSC,Legal Arrear Appropriation,,,,,
3095,NMSC,Susp Legal Arrear Appropriation,,,,,
3096,NMSC,PMI Arrear Appropriation,,,,,
3097,NMSC,Susp PMI Arrear Appropriation,,,,,
